value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.55,77,,CRI,Costa Rica,2016
2.36,77,,CUB,Cuba,2016
1.55,77,,DOM,Dominican Republic,2016
2.36,77,,ECU,Ecuador,2016
1.55,77,,SLV,El Salvador,2016
2.36,77,,GUY,Guyana,2016
1.55,77,,HTI,Haiti,2016
2.36,77,,HND,Honduras,2016
1.55,77,,JAM,Jamaica,2016
2.36,77,,MEX,Mexico,2016
1.55,77,,NIC,Nicaragua,2016
2.36,77,,PAN,Panama,2016
1.55,77,,PRY,Paraguay,2016
2.36,77,,PER,Peru,2016
1.55,77,,KNA,Saint Kitts and Nevis,2016
2.36,77,,LCA,Saint Lucia,2016
1.55,77,,SUR,Suriname,2016
2.36,77,,TTO,Trinidad and Tobago,2016
1.55,77,,URY,Uruguay,2016
2.36,77,,VEN,Venezuela (Bolivarian Republic of),2016
1.66,77,,ARG,Argentina,2017
2.37,77,,BHS,Bahamas,2017
1.66,77,,BRB,Barbados,2017
2.37,77,,BLZ,Belize,2017
1.66,77,,BOL,Bolivia (Plurinational State of),2017
2.37,77,,BRA,Brazil,2017
1.66,77,,CHL,Chile,2017
2.37,77,,COL,Colombia,2017
1.66,77,,CRI,Costa Rica,2017
2.37,77,,CUB,Cuba,2017
1.66,77,,DOM,Dominican Republic,2017
2.37,77,,ECU,Ecuador,2017
1.66,77,,SLV,El Salvador,2017
2.37,77,,GUY,Guyana,2017
1.66,77,,HTI,Haiti,2017
2.37,77,,HND,Honduras,2017
1.66,77,,JAM,Jamaica,2017
2.37,77,,MEX,Mexico,2017
1.66,77,,NIC,Nicaragua,2017
2.37,77,,PAN,Panama,2017
1.66,77,,PRY,Paraguay,2017
2.37,77,,PER,Peru,2017
1.66,77,,KNA,Saint Kitts and Nevis,2017
2.37,77,,LCA,Saint Lucia,2017
1.66,77,,SUR,Suriname,2017
2.37,77,,TTO,Trinidad and Tobago,2017
1.66,77,,URY,Uruguay,2017
2.37,77,,VEN,Venezuela (Bolivarian Republic of),2017
1.83,77,,ARG,Argentina,2018
2.35,77,,BHS,Bahamas,2018
1.83,77,,BRB,Barbados,2018
2.35,77,,BLZ,Belize,2018
1.83,77,,BOL,Bolivia (Plurinational State of),2018
2.35,77,,BRA,Brazil,2018
1.83,77,,CHL,Chile,2018
2.35,77,,COL,Colombia,2018
1.83,77,,CRI,Costa Rica,2018
2.35,77,,CUB,Cuba,2018
1.83,77,,DOM,Dominican Republic,2018
2.35,77,,ECU,Ecuador,2018
1.83,77,,SLV,El Salvador,2018
2.35,77,,GUY,Guyana,2018
1.83,77,,HTI,Haiti,2018
2.35,77,,HND,Honduras,2018
1.83,77,,JAM,Jamaica,2018
2.35,77,,MEX,Mexico,2018
1.83,77,,NIC,Nicaragua,2018
2.35,77,,PAN,Panama,2018
1.83,77,,PRY,Paraguay,2018
2.35,77,,PER,Peru,2018
1.83,77,,KNA,Saint Kitts and Nevis,2018
2.35,77,,LCA,Saint Lucia,2018
1.83,77,,SUR,Suriname,2018
2.35,77,,TTO,Trinidad and Tobago,2018
1.83,77,,URY,Uruguay,2018
2.35,77,,VEN,Venezuela (Bolivarian Republic of),2018
1.95,77,,ARG,Argentina,2019
2.43,77,,BHS,Bahamas,2019
1.95,77,,BRB,Barbados,2019
2.43,77,,BLZ,Belize,2019
1.95,77,,BOL,Bolivia (Plurinational State of),2019
2.43,77,,BRA,Brazil,2019
1.95,77,,CHL,Chile,2019
2.43,77,,COL,Colombia,2019
1.95,77,,CRI,Costa Rica,2019
2.43,77,,CUB,Cuba,2019
1.95,77,,DOM,Dominican Republic,2019
2.43,77,,ECU,Ecuador,2019
1.95,77,,SLV,El Salvador,2019
2.43,77,,GUY,Guyana,2019
1.95,77,,HTI,Haiti,2019
2.43,77,,HND,Honduras,2019
1.95,77,,JAM,Jamaica,2019
2.43,77,,MEX,Mexico,2019
1.95,77,,NIC,Nicaragua,2019
2.43,77,,PAN,Panama,2019
1.95,77,,PRY,Paraguay,2019
2.43,77,,PER,Peru,2019
1.95,77,,KNA,Saint Kitts and Nevis,2019
2.43,77,,LCA,Saint Lucia,2019
1.95,77,,SUR,Suriname,2019
2.43,77,,TTO,Trinidad and Tobago,2019
1.95,77,,URY,Uruguay,2019
2.43,77,,VEN,Venezuela (Bolivarian Republic of),2019
2.0,77,,ARG,Argentina,2020
2.49,77,,BHS,Bahamas,2020
2.0,77,,BRB,Barbados,2020
2.49,77,,BLZ,Belize,2020
2.0,77,,BOL,Bolivia (Plurinational State of),2020
2.49,77,,BRA,Brazil,2020
2.0,77,,CHL,Chile,2020
2.49,77,,COL,Colombia,2020
2.0,77,,CRI,Costa Rica,2020
2.49,77,,CUB,Cuba,2020
2.0,77,,DOM,Dominican Republic,2020
2.49,77,,ECU,Ecuador,2020
2.0,77,,SLV,El Salvador,2020
2.49,77,,GUY,Guyana,2020
2.0,77,,HTI,Haiti,2020
2.49,77,,HND,Honduras,2020
2.0,77,,JAM,Jamaica,2020
2.49,77,,MEX,Mexico,2020
2.0,77,,NIC,Nicaragua,2020
2.49,77,,PAN,Panama,2020
2.0,77,,PRY,Paraguay,2020
2.49,77,,PER,Peru,2020
2.0,77,,KNA,Saint Kitts and Nevis,2020
2.49,77,,LCA,Saint Lucia,2020
2.0,77,,SUR,Suriname,2020
2.49,77,,TTO,Trinidad and Tobago,2020
2.0,77,,URY,Uruguay,2020
2.49,77,,VEN,Venezuela (Bolivarian Republic of),2020
1.96,77,,ARG,Argentina,2021
2.48,77,,BHS,Bahamas,2021
1.96,77,,BRB,Barbados,2021
2.48,77,,BLZ,Belize,2021
1.96,77,,BOL,Bolivia (Plurinational State of),2021
2.48,77,,BRA,Brazil,2021
1.96,77,,CHL,Chile,2021
2.48,77,,COL,Colombia,2021
1.96,77,,CRI,Costa Rica,2021
2.48,77,,CUB,Cuba,2021
1.96,77,,DOM,Dominican Republic,2021
2.48,77,,ECU,Ecuador,2021
1.96,77,,SLV,El Salvador,2021
2.48,77,,GUY,Guyana,2021
1.96,77,,HTI,Haiti,2021
2.48,77,,HND,Honduras,2021
1.96,77,,JAM,Jamaica,2021
2.48,77,,MEX,Mexico,2021
1.96,77,,NIC,Nicaragua,2021
2.48,77,,PAN,Panama,2021
1.96,77,,PRY,Paraguay,2021
2.48,77,,PER,Peru,2021
1.96,77,,KNA,Saint Kitts and Nevis,2021
2.48,77,,LCA,Saint Lucia,2021
1.96,77,,SUR,Suriname,2021
2.48,77,,TTO,Trinidad and Tobago,2021
1.96,77,,URY,Uruguay,2021
2.48,77,,VEN,Venezuela (Bolivarian Republic of),2021
2.01,77,,ARG,Argentina,2022
2.58,77,,BHS,Bahamas,2022
2.01,77,,BRB,Barbados,2022
2.58,77,,BLZ,Belize,2022
2.01,77,,BOL,Bolivia (Plurinational State of),2022
2.58,77,,BRA,Brazil,2022
2.01,77,,CHL,Chile,2022
2.58,77,,COL,Colombia,2022
2.01,77,,CRI,Costa Rica,2022
2.58,77,,CUB,Cuba,2022
2.01,77,,DOM,Dominican Republic,2022
2.58,77,,ECU,Ecuador,2022
2.01,77,,SLV,El Salvador,2022
2.58,77,,GUY,Guyana,2022
